	TIME:	31-Dec-59	12:00	to	31-Dec-10	12:00							
	LONGITUDE:	35.8E											
	LATITUDE:	3.3N											
	Column	01:00	PRED	is	"PRE[D=cru_ts4.03.1901.2018.pre.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	02:00	PETD	is	"PET[D=cru_ts4.03.1901.2018.pet.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	03:00	CLDD	is	"CLD[D=cru_ts4.03.1901.2018.cld.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	04:00	DTRD	is	"DTR[D=cru_ts4.03.1901.2018.dtr.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	05:00	TMPD	is	"TMP[D=cru_ts4.03.1901.2018.tmp.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	06:00	TMND	is	"TMN[D=cru_ts4.03.1901.2018.tmn.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	07:00	TMXD	is	"TMX[D=cru_ts4.03.1901.2018.tmx.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	08:00	VAPD	is	"VAP[D=cru_ts4.03.1901.2018.vap.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	09:00	WETD	is	"WET[D=cru_ts4.03.1901.2018.wet.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	10:00	FRSD	is	"FRS[D=cru_ts4.03.1901.2018.frs.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
				PRED	PETD	CLDD	DTRD	TMPD	TMND	TMXD	VAPD	WETD	FRSD
16-Mar-73	0	/	867:00:00	0.8	7.2	43	13.5	31.1	24.4	37.9	19.9	0.74	0
16-Apr-73	0	/	868:00:00	21.9	6.1	54.7	11.6	30.4	24.6	36.2	22.5	5.19	0
16-May-73	0	/	869:00:00	30.2	5.5	59.5	10.3	29.1	24	34.3	21.7	6.83	0
16-Jun-73	0	/	870:00:00	6.9	5.6	55.6	10.3	28.5	23.4	33.7	20.1	4.02	0
16-Jul-73	0	/	871:00:00	14.1	5.5	55.5	9.9	27.7	22.8	32.7	19.2	4.75	0
16-Aug-73	0	/	872:00:00	6	5.7	58.2	9.9	27.8	22.9	32.8	19	5.8	0
16-Sep-73	0	/	873:00:00	18	6.3	48.1	10.9	28.8	23.4	34.3	18.4	12.19	0
16-Oct-73	0	/	874:00:00	4.5	6.4	53.4	10.9	29.6	24.2	35.1	18.8	4.31	0
16-Nov-73	0	/	875:00:00	24.9	5.9	51.9	11.2	28.5	22.9	34.1	18.2	6.58	0
16-Dec-73	0	/	876:00:00	2.1	6.1	33.4	13.7	27.9	21.1	34.8	16.5	1.6	0
16-Jan-74	0	/	877:00:00	7.6	6.6	37.1	14.1	28.4	21.4	35.5	15.9	4.6	0
15-Feb-74	0	/	878:00:00	4	6.8	42.6	13.6	29.4	22.6	36.2	17.1	2.49	0
16-Mar-74	0	/	879:00:00	44.8	6.1	67	12	29.3	23.3	35.3	19.3	7.95	0
16-Apr-74	0	/	880:00:00	46.8	5.8	60.9	11.4	29.3	23.6	35	21.1	7.71	0
16-May-74	0	/	881:00:00	33.8	5.4	59.4	10.1	28.4	23.4	33.5	20.8	7.86	0
16-Jun-74	0	/	882:00:00	11.2	5.5	55.1	10.3	28.2	23.1	33.4	20	4.34	0
16-Jul-74	0	/	883:00:00	36.3	5.4	59.2	9.5	27.4	22.7	32.2	19.2	8.41	0
16-Aug-74	0	/	884:00:00	10.6	5.8	54.4	10.2	27.7	22.6	32.8	18.7	9.98	0
16-Sep-74	0	/	885:00:00	8	6.2	49.6	10.9	28.3	22.9	33.8	17.9	5.29	0
16-Oct-74	0	/	886:00:00	6.5	6.5	49.5	11.2	29.4	23.8	35	18.2	5.11	0
16-Nov-74	0	/	887:00:00	7.1	6.2	41.2	12	28.2	22.2	34.2	17.3	3.16	0
16-Dec-74	0	/	888:00:00	5.3	6	39.6	13.6	28.2	21.4	35	16.8	2.34	0
16-Jan-75	0	/	889:00:00	1.3	6.5	37.7	14.1	28.4	21.4	35.5	16	1.36	0
15-Feb-75	0	/	890:00:00	4.6	6.8	45.1	13.3	29.9	23.3	36.6	17.5	2.53	0
16-Mar-75	0	/	891:00:00	19.4	6.7	53.8	12.7	30.2	23.9	36.6	19.5	4.8	0
16-Apr-75	0	/	892:00:00	70.9	5.7	64.1	11.2	29.8	24.2	35.4	21.9	9.31	0
16-May-75	0	/	893:00:00	29.2	5.5	57.2	10.4	28.8	23.6	34	21.1	7.46	0
16-Jun-75	0	/	894:00:00	17.2	5.2	66.9	9.9	27.8	22.9	32.8	19.5	8.1	0
16-Jul-75	0	/	895:00:00	32.6	5.4	58.7	9.7	27.4	22.6	32.3	19.1	8.63	0
16-Aug-75	0	/	896:00:00	5	5.5	59.7	9.7	27	22.2	31.9	18.2	4.76	0
16-Sep-75	0	/	897:00:00	6.7	6.2	49	10.8	28.3	22.9	33.7	18	6.21	0
16-Oct-75	0	/	898:00:00	11.1	6.2	57.1	10.6	29	23.7	34.3	18.3	7.39	0
16-Nov-75	0	/	899:00:00	4.3	6	46.4	11.6	28.2	22.4	34	17.5	1.95	0
16-Dec-75	0	/	900:00:00	9.4	6	38.7	13.5	28.1	21.4	34.9	16.9	3.01	0
16-Jan-76	0	/	901:00:00	5	6.5	39.3	14.1	28.1	21.1	35.2	15.7	4.22	0
15-Feb-76	0	/	902:00:00	10.2	6.7	47.3	13.3	29.4	22.8	36.1	17.4	4.97	0
16-Mar-76	0	/	903:00:00	6.4	6.6	52.9	12.7	29.7	23.4	36.1	19	2.72	0
16-Apr-76	0	/	904:00:00	36.5	5.8	58.3	11.4	29.2	23.5	34.9	21.3	6.8	0
16-May-76	0	/	905:00:00	21.5	5.5	59.4	10.2	28.9	23.8	34	21.3	5.43	0
16-Jun-76	0	/	906:00:00	9.3	5.8	49.8	10.6	28.8	23.5	34.1	20	5.55	0
16-Jul-76	0	/	907:00:00	34	5.5	56.8	9.8	27.6	22.7	32.5	19.3	8.93	0
16-Aug-76	0	/	908:00:00	3.7	5.9	52.2	10.4	27.8	22.6	33	18.5	4.56	0
16-Sep-76	0	/	909:00:00	7.5	6.5	44.8	11.3	29.1	23.5	34.8	18.4	7.89	0
16-Oct-76	0	/	910:00:00	3.8	6.5	50.3	11.1	29.5	24	35.1	18.5	3.39	0
16-Nov-76	0	/	911:00:00	20.8	5.7	57.8	10.6	28.8	23.5	34.1	18.9	5.78	0
16-Dec-76	0	/	912:00:00	6.4	6	47.5	12.9	29.2	22.8	35.7	18	3.2	0
16-Jan-77	0	/	913:00:00	33.2	5.9	62	12.7	28.8	22.5	35.2	17.3	10.88	0
15-Feb-77	0	/	914:00:00	9.9	6.6	49.5	13.2	29.7	23.1	36.3	17.8	4.98	0
16-Mar-77	0	/	915:00:00	10.6	6.6	56.3	12.6	29.9	23.6	36.2	19.3	3.84	0
16-Apr-77	0	/	916:00:00	110.9	5.7	66.6	11.3	29.9	24.3	35.6	21.7	11.42	0
16-May-77	0	/	917:00:00	37.9	5.8	53.1	10.8	29.2	23.8	34.6	21	8.22	0
16-Jun-77	0	/	918:00:00	7.9	5.6	53.2	10.4	28.3	23.1	33.5	19.9	4.77	0
16-Jul-77	0	/	919:00:00	19.1	5.4	59.5	9.8	27.9	23	32.8	19.7	6.82	0
16-Aug-77	0	/	920:00:00	3.1	5.8	55.1	10.3	27.9	22.8	33.1	18.8	4.01	0
16-Sep-77	0	/	921:00:00	3.5	6.4	47.3	11.1	29.2	23.7	34.8	18.7	4.18	0
16-Oct-77	0	/	922:00:00	38.3	6.1	66	10.4	29.6	24.4	34.8	19.1	13.88	0
16-Nov-77	0	/	923:00:00	60	5.4	68.9	10.5	28	22.8	33.3	18.1	9.54	0
16-Dec-77	0	/	924:00:00	7.7	5.4	69.1	12.6	28.5	22.2	34.8	17.7	2.85	0
16-Jan-78	0	/	925:00:00	10.4	6.2	53.6	14.1	28.3	21.3	35.4	16	4.85	0
15-Feb-78	0	/	926:00:00	46.3	6.5	54.7	13.2	29.4	22.8	36	17.4	10.68	0
16-Mar-78	0	/	927:00:00	48.6	6	72.5	12.2	29.1	23	35.2	18.6	8.42	0
16-Apr-78	0	/	928:00:00	34.4	5.9	60	11.4	29.6	23.9	35.3	21.2	5.85	0
16-May-78	0	/	929:00:00	15.8	5.6	53.9	10.6	28.7	23.4	34	21	4.28	0
16-Jun-78	0	/	930:00:00	9.3	5.5	56.3	10.4	28.5	23.3	33.7	20.2	3.98	0
16-Jul-78	0	/	931:00:00	18.5	5.3	61.9	9.7	27.6	22.8	32.5	19.5	6.28	0
16-Aug-78	0	/	932:00:00	3.7	5.8	55.5	10.1	28	23	33.1	19	3.84	0
16-Sep-78	0	/	933:00:00	15.5	6.4	48.8	10.9	29.1	23.7	34.6	18.6	10.98	0
16-Oct-78	0	/	934:00:00	15.5	6.3	58.3	10.5	29.6	24.4	34.9	19	8.5	0
16-Nov-78	0	/	935:00:00	17.7	5.9	52.6	11.1	28.5	23	34.1	18.3	5.1	0
16-Dec-78	0	/	936:00:00	36.1	5.6	56.8	12.7	28.4	22.1	34.8	17.7	7.81	0
16-Jan-79	0	/	937:00:00	20.6	6	56.1	12.9	28.5	22.1	35	17.1	7.35	0
15-Feb-79	0	/	938:00:00	26.8	6.3	57.8	13.2	29.2	22.6	35.8	17.7	8.29	0
16-Mar-79	0	/	939:00:00	27.4	6.6	53.5	12.8	29.4	23	35.8	18.8	6.54	0
16-Apr-79	0	/	940:00:00	71.1	5.9	57.4	11.7	29.6	23.8	35.5	21.4	9.3	0
16-May-79	0	/	941:00:00	28.1	5.6	55.2	10.5	28.9	23.7	34.2	21.2	6.84	0
16-Jun-79	0	/	942:00:00	17.1	5.4	59.6	10.3	28.1	23	33.3	19.6	7.17	0
16-Jul-79	0	/	943:00:00	11.7	5.5	58.2	9.9	27.8	22.9	32.8	19.4	3.97	0
16-Aug-79	0	/	944:00:00	3	5.9	52.4	10.3	28.3	23.2	33.5	19.3	4.56	0
16-Sep-79	0	/	945:00:00	4.6	6.6	44.2	11.3	29.4	23.8	35.1	18.7	5.91	0
16-Oct-79	0	/	946:00:00	5.7	6.5	52.1	11.2	29.7	24.1	35.3	18.8	4.65	0
16-Nov-79	0	/	947:00:00	32.5	6.1	49.7	11.5	29	23.3	34.8	18.5	7.48	0
16-Dec-79	0	/	948:00:00	10.7	6	45.8	13.1	29.2	22.7	35.8	18.1	4.65	0
16-Jan-80	0	/	949:00:00	10	6.6	36.2	13.8	28.9	22	35.8	16.7	4.24	0
15-Feb-80	0	/	950:00:00	2.8	6.9	41.3	13.7	30.1	23.3	37	17.9	1.9	0
16-Mar-80	0	/	951:00:00	12.6	6.8	51.3	12.8	30.5	24.1	36.9	20.2	3.88	0
16-Apr-80	0	/	952:00:00	56.8	5.8	60.8	11.2	30	24.4	35.6	22.3	8.23	0
16-May-80	0	/	953:00:00	45.4	5.4	64.3	10.1	29.2	24.2	34.3	21.7	9.15	0
16-Jun-80	0	/	954:00:00	5.3	5.5	55.8	10.2	28.6	23.5	33.7	20.4	2.79	0
16-Jul-80	0	/	955:00:00	12.7	5.4	58.7	9.8	28	23.1	32.9	19.9	4.14	0
16-Aug-80	0	/	956:00:00	5.6	5.8	54.4	10.3	27.9	22.8	33.1	19	4.73	0
16-Sep-80	0	/	957:00:00	2.1	6.5	45	11.3	29.3	23.7	35	18.6	2.64	0
16-Oct-80	0	/	958:00:00	3.8	6.7	50.6	11.3	30.2	24.6	35.9	19.1	3.35	0
16-Nov-80	0	/	959:00:00	20	5.9	53.5	11.1	29.1	23.6	34.7	18.9	5.04	0
16-Dec-80	0	/	960:00:00	10.2	6.1	36.3	13.4	28.4	21.7	35.1	17.2	2.53	0
16-Jan-81	0	/	961:00:00	0.3	6.6	36.1	14	29.1	22.1	36.1	16.7	0.6	0
15-Feb-81	0	/	962:00:00	7	6.9	40.1	14	29.7	22.7	36.7	17.1	3.17	0
16-Mar-81	0	/	963:00:00	86.2	6.2	67	11.7	29.7	23.9	35.6	19.6	10.72	0
16-Apr-81	0	/	964:00:00	72.5	5.5	68.9	11	29.5	24	35	21.7	9.05	0
16-May-81	0	/	965:00:00	15.2	5.6	57.9	10.4	29.1	23.9	34.3	21.4	4.51	0
16-Jun-81	0	/	966:00:00	5.6	5.7	52.5	10.6	28.9	23.6	34.2	20.3	3.22	0
16-Jul-81	0	/	967:00:00	16.7	5.4	60.1	9.6	27.8	23	32.6	19.8	5.06	0
16-Aug-81	0	/	968:00:00	8.8	5.9	55.7	10.2	28.5	23.4	33.6	19.5	8.37	0
16-Sep-81	0	/	969:00:00	7	6.3	49.4	10.8	29.3	23.9	34.7	19.2	4.51	0
16-Oct-81	0	/	970:00:00	7.7	6.6	50.4	11.4	30	24.3	35.7	19	5.74	0
16-Nov-81	0	/	971:00:00	11	6	50.1	11.7	28.9	23.1	34.8	18.4	3.1	0
16-Dec-81	0	/	972:00:00	7.5	6.1	39.7	13.6	28.8	22	35.6	17.4	2.64	0
16-Jan-82	0	/	973:00:00	5.7	6.4	45.1	13.4	29.1	22.4	35.8	17.2	2.68	0
15-Feb-82	0	/	974:00:00	8.1	6.7	46.3	13.5	29.5	22.8	36.3	17.5	3.87	0
16-Mar-82	0	/	975:00:00	29.4	6.8	49.3	13.1	30.1	23.6	36.7	19.2	6.38	0
16-Apr-82	0	/	976:00:00	86.9	5.5	67.7	11	29.3	23.8	34.8	21.5	10	0
16-May-82	0	/	977:00:00	50.4	5.5	60.3	10.4	29.2	24	34.4	21.5	9.27	0
16-Jun-82	0	/	978:00:00	7.3	5.6	55.7	10.3	28.8	23.7	34	20.5	3.65	0
16-Jul-82	0	/	979:00:00	15.5	5.6	56.7	10	28.2	23.2	33.2	19.9	4.61	0
16-Aug-82	0	/	980:00:00	5.4	5.8	54.7	10.3	28	22.9	33.2	19.1	6.03	0
16-Sep-82	0	/	981:00:00	4.2	6.5	45	11.6	29.5	23.7	35.3	19	4.62	0
16-Oct-82	0	/	982:00:00	18.7	6.2	58.7	10.7	29.3	24	34.7	18.8	8.24	0
16-Nov-82	0	/	983:00:00	85.8	5.6	61.4	10.5	28.5	23.3	33.8	18.8	11.28	0
16-Dec-82	0	/	984:00:00	39.6	5.7	54.5	12.8	28.7	22.3	35.1	17.8	9.4	0
16-Jan-83	0	/	985:00:00	2.2	6.4	43.9	14.1	28.3	21.3	35.4	16.1	2.31	0
15-Feb-83	0	/	986:00:00	12.4	6.7	46.8	13.5	29.8	23.1	36.6	17.7	4.79	0
16-Mar-83	0	/	987:00:00	7.4	6.9	48.8	12.8	30.7	24.3	37.1	20.1	2.66	0
16-Apr-83	0	/	988:00:00	53.2	5.8	63.9	11.1	30.6	25.1	36.2	23.1	7.74	0
16-May-83	0	/	989:00:00	23.3	5.7	54.7	10.4	30	24.8	35.2	22.7	5.23	0
16-Jun-83	0	/	990:00:00	7.7	5.7	52.5	10.2	29.4	24.3	34.5	21.3	4.28	0
16-Jul-83	0	/	991:00:00	26	5.7	56	9.9	28.8	23.9	33.8	20.4	4.99	0
16-Aug-83	0	/	992:00:00	10.4	5.8	55.4	9.7	28.5	23.7	33.4	19.8	9.63	0
16-Sep-83	0	/	993:00:00	16.1	6.3	48.8	10.8	29.3	23.9	34.7	19.1	11.42	0
16-Oct-83	0	/	994:00:00	13.4	6.3	57.1	10.4	29.9	24.7	35.1	19.6	6.88	0
16-Nov-83	0	/	995:00:00	17.8	5.9	50.5	11	29	23.5	34.5	19	5.2	0
16-Dec-83	0	/	996:00:00	16.7	5.9	45.1	13.3	28.2	21.6	34.9	17.1	6.3	0
16-Jan-84	0	/	997:00:00	5.3	6.5	36	14.1	28	21	35.1	15.8	2.81	0
15-Feb-84	0	/	998:00:00	1	7.1	31.1	14.5	29.1	21.9	36.4	16	0.83	0
16-Mar-84	0	/	999:00:00	3.3	7	44	13.2	30.5	23.9	37.1	19.4	1.97	0
16-Apr-84	0	/	1000:00:00	42.1	6.1	51.6	11.5	30.1	24.4	35.9	22.1	7.36	0
16-May-84	0	/	1001:00:00	10.2	5.9	50.5	10.5	29.9	24.7	35.2	22.5	3.42	0
16-Jun-84	0	/	1002:00:00	4.1	5.7	48.5	10.3	28.6	23.5	33.8	20.3	2.74	0
16-Jul-84	0	/	1003:00:00	9.5	5.6	55.4	9.8	28.4	23.5	33.3	20.3	4.36	0
16-Aug-84	0	/	1004:00:00	1.8	5.9	52.5	10.3	28.3	23.2	33.5	19.2	2.77	0
16-Sep-84	0	/	1005:00:00	3.3	6.5	45.5	11.1	29.3	23.8	34.9	18.7	4.05	0
16-Oct-84	0	/	1006:00:00	5.6	6.7	48.7	11.7	29.6	23.8	35.5	18.2	4.01	0
16-Nov-84	0	/	1007:00:00	31.2	5.8	55.2	10.8	28.5	23.1	33.9	18.5	6.86	0
16-Dec-84	0	/	1008:00:00	17.7	5.8	49.1	12.7	28.5	22.2	34.9	17.7	6.27	0
16-Jan-85	0	/	1009:00:00	18.4	6.4	45.4	13.6	28.9	22.1	35.7	16.7	8.21	0
15-Feb-85	0	/	1010:00:00	7.9	6.7	44.7	13.6	29	22.2	35.8	17	3.91	0
16-Mar-85	0	/	1011:00:00	32.8	6.6	53.7	12.7	29.7	23.4	36.1	18.9	6.88	0
16-Apr-85	0	/	1012:00:00	75.5	5.3	72	10.8	28.7	23.3	34.1	20.9	9.74	0
16-May-85	0	/	1013:00:00	50.3	5.4	60.5	10.1	28.5	23.5	33.6	20.9	8.18	0
16-Jun-85	0	/	1014:00:00	5.9	5.5	57.1	10.1	28.2	23.2	33.3	19.8	3.34	0
16-Jul-85	0	/	1015:00:00	13	5.5	57.2	9.7	27.6	22.8	32.5	19.2	5.47	0
16-Aug-85	0	/	1016:00:00	3	5.8	54.3	10.1	27.9	22.9	33	18.9	3.72	0
16-Sep-85	0	/	1017:00:00	2.7	6.4	47.6	10.9	29.2	23.8	34.7	19	3.2	0
16-Oct-85	0	/	1018:00:00	2.6	6.5	51.6	10.9	29.7	24.3	35.2	18.8	2.87	0
16-Nov-85	0	/	1019:00:00	23.3	5.9	51.7	11	28.9	23.4	34.4	18.9	5.74	0
16-Dec-85	0	/	1020:00:00	2.9	6	41.3	13	28.7	22.2	35.2	17.6	1.75	0
16-Jan-86	0	/	1021:00:00	0.2	6.6	34.7	14.1	28.5	21.5	35.6	16.2	0.35	0
15-Feb-86	0	/	1022:00:00	4.3	6.8	44.4	13.3	29.8	23.2	36.5	17.8	2.8	0
16-Mar-86	0	/	1023:00:00	30	6.6	53.4	12.7	29.4	23.1	35.8	18.7	6.7	0
16-Apr-86	0	/	1024:00:00	58.8	5.6	64.5	11	29.4	23.9	34.9	21.7	8.62	0
16-May-86	0	/	1025:00:00	7.9	5.8	54.3	10.5	29.6	24.4	34.9	21.7	3.54	0
16-Jun-86	0	/	1026:00:00	20.1	5.3	62.4	9.8	28.2	23.3	33.1	20	8.67	0
16-Jul-86	0	/	1027:00:00	10.1	5.5	58.7	9.6	28	23.2	32.8	19.7	3.63	0
16-Aug-86	0	/	1028:00:00	2.2	6.1	48.4	10.8	28.5	23.1	33.9	19	4.25	0
16-Sep-86	0	/	1029:00:00	3	6.4	47.6	10.9	29.3	23.9	34.8	18.9	3.11	0
16-Oct-86	0	/	1030:00:00	5.2	6.6	50.9	11.1	30	24.5	35.6	19.2	4.19	0
16-Nov-86	0	/	1031:00:00	11.4	6	51.8	11.1	29.2	23.7	34.8	19.2	4.03	0
16-Dec-86	0	/	1032:00:00	8.1	5.8	51.1	12.8	28.6	22.2	35	17.7	4.28	0
16-Jan-87	0	/	1033:00:00	3.6	6.4	43.2	14	28.6	21.6	35.6	16.3	2.66	0
15-Feb-87	0	/	1034:00:00	9.9	6.8	44.1	13.6	29.8	23	36.6	17.4	4.02	0
16-Mar-87	0	/	1035:00:00	16.4	6.6	55.9	12.3	30.4	24.3	36.6	20.1	4.09	0
16-Apr-87	0	/	1036:00:00	60.1	6	55.3	11.3	30.2	24.6	35.9	22.3	8.7	0
16-May-87	0	/	1037:00:00	42	5.6	58.2	10.3	29.3	24.2	34.5	21.7	8.57	0
16-Jun-87	0	/	1038:00:00	19.4	5.5	58.5	10.1	28.7	23.7	33.8	20.4	8.62	0
16-Jul-87	0	/	1039:00:00	2.8	5.9	51.7	10.3	29	23.9	34.2	20.4	2.47	0
16-Aug-87	0	/	1040:00:00	3.5	6.1	50.4	10.7	28.9	23.6	34.3	19.7	3.92	0
16-Sep-87	0	/	1041:00:00	2.1	6.8	42	11.7	30.4	24.6	36.3	19.6	2.87	0
16-Oct-87	0	/	1042:00:00	3.6	6.6	51.7	10.9	30.6	25.2	36.1	20	2.71	0
16-Nov-87	0	/	1043:00:00	30.8	6	52.7	11.1	29.4	23.9	35	19.2	7.02	0
16-Dec-87	0	/	1044:00:00	4.1	6.1	40.1	13.1	29.4	22.9	36	18.2	2.18	0
16-Jan-88	0	/	1045:00:00	8.9	6.4	46	13.4	29.5	22.8	36.2	17.7	4.74	0
15-Feb-88	0	/	1046:00:00	3.2	6.8	46.1	13	30.4	23.9	36.9	18.7	2.07	0
16-Mar-88	0	/	1047:00:00	10	6.9	52.1	12.9	30.9	24.5	37.4	20.4	3.3	0
16-Apr-88	0	/	1048:00:00	97.6	5.7	64.1	11.4	29.8	24.1	35.5	21.8	10.84	0
16-May-88	0	/	1049:00:00	10.9	5.7	55	10.7	29.4	24.1	34.8	21.5	4.56	0
16-Jun-88	0	/	1050:00:00	7.5	5.8	53.3	10.6	29.4	24.1	34.7	21	5.27	0
16-Jul-88	0	/	1051:00:00	42.1	5.4	60	9.4	28	23.3	32.7	19.9	10.45	0
16-Aug-88	0	/	1052:00:00	15.9	5.8	54.7	10	28.5	23.5	33.5	19.7	12.42	0
16-Sep-88	0	/	1053:00:00	28.5	6.3	50.1	10.6	29.2	23.9	34.5	19	14.09	0
16-Oct-88	0	/	1054:00:00	12.5	6.4	54.2	10.6	29.8	24.5	35.1	19.1	8.39	0
16-Nov-88	0	/	1055:00:00	14.8	6	47.9	11.5	28.3	22.6	34.1	17.9	3.88	0
16-Dec-88	0	/	1056:00:00	9.7	5.9	43.7	13.7	27.9	21.1	34.8	16.5	4.4	0
16-Jan-89	0	/	1057:00:00	4.1	6.2	43	13.8	27.5	20.6	34.4	15.7	2.22	0
15-Feb-89	0	/	1058:00:00	11.9	6.4	47.3	13.2	28.2	21.6	34.8	16.4	5.85	0
16-Mar-89	0	/	1059:00:00	32.8	6.6	53.7	12.5	29.5	23.3	35.8	19	6.9	0
16-Apr-89	0	/	1060:00:00	42	5.5	64.5	10.8	28.7	23.3	34.1	20.9	6.73	0
16-May-89	0	/	1061:00:00	39.9	5.7	53.5	10.7	28.6	23.3	34	20.5	8.73	0
16-Jun-89	0	/	1062:00:00	5.2	5.7	51.8	10.5	28.3	23.1	33.6	19.7	3.21	0
16-Jul-89	0	/	1063:00:00	19	5.5	58.7	9.8	28	23.1	32.9	19.7	7.18	0
16-Aug-89	0	/	1064:00:00	1.9	5.9	53.6	10.3	28.4	23.3	33.6	19.5	2.87	0
16-Sep-89	0	/	1065:00:00	19	6.4	48.6	10.9	29.4	24	34.9	19.2	11.68	0
16-Oct-89	0	/	1066:00:00	5.7	6.3	54.9	10.8	29.6	24.2	35	19.1	3.74	0
16-Nov-89	0	/	1067:00:00	20.3	5.8	55.2	11	28.6	23.1	34.1	18.4	5.24	0
16-Dec-89	0	/	1068:00:00	35.4	5.6	57.8	11.9	28.6	22.7	34.6	18	9	0
16-Jan-90	0	/	1069:00:00	11.5	6.3	43.9	13.5	28.3	21.6	35.1	16.2	5.83	0
15-Feb-90	0	/	1070:00:00	24.3	6.3	56.8	12.7	29.3	23	35.7	17.9	7.87	0
16-Mar-90	0	/	1071:00:00	22.9	6.3	60.2	12.1	29.3	23.3	35.4	19	5.68	0
16-Apr-90	0	/	1072:00:00	64	5.6	65.3	11.2	29.5	23.9	35.1	21.6	8.31	0
16-May-90	0	/	1073:00:00	10.1	5.8	53.2	10.7	29.8	24.5	35.2	21.8	4.36	0
16-Jun-90	0	/	1074:00:00	6.2	5.8	50	10.7	29	23.7	34.4	20.5	3.49	0
16-Jul-90	0	/	1075:00:00	3.7	5.6	57	10.1	28.3	23.3	33.4	19.9	1.49	0
16-Aug-90	0	/	1076:00:00	1.6	5.9	53.6	10.1	28.5	23.5	33.6	19.5	1.77	0
16-Sep-90	0	/	1077:00:00	1.6	6.5	45	11.2	29.5	23.9	35.1	19.1	2.26	0
16-Oct-90	0	/	1078:00:00	9.2	6.5	52.5	11.2	30	24.4	35.6	19	7.39	0
16-Nov-90	0	/	1079:00:00	13.9	6	51	11.1	29	23.5	34.6	18.9	3.47	0
16-Dec-90	0	/	1080:00:00	18	5.9	49.1	12.9	28.9	22.5	35.4	17.6	5.84	0
16-Jan-91	0	/	1081:00:00	16	6.3	46	13.2	28.7	22.1	35.3	16.8	7.65	0
15-Feb-91	0	/	1082:00:00	1.2	6.8	43.8	13.5	29.9	23.2	36.7	17.8	1.79	0
16-Mar-91	0	/	1083:00:00	37.6	6.6	56.4	12.9	30	23.6	36.5	19.5	7.44	0
16-Apr-91	0	/	1084:00:00	24.8	6	54.9	11.7	29.7	23.9	35.6	21.8	5.2	0
16-May-91	0	/	1085:00:00	26.9	5.6	55.9	10.6	29.2	23.9	34.5	22	7.02	0
16-Jun-91	0	/	1086:00:00	15	5.5	58	10.4	28.9	23.7	34.1	20.8	7.12	0
16-Jul-91	0	/	1087:00:00	25	5.3	62.1	9.6	28.1	23.3	32.9	20.6	7.97	0
16-Aug-91	0	/	1088:00:00	6.4	5.8	53.9	10.4	27.9	22.7	33.1	19.3	6.94	0
16-Sep-91	0	/	1089:00:00	2	6.5	45	11.3	29.3	23.7	35	19	2.85	0
16-Oct-91	0	/	1090:00:00	12.6	6.5	51.2	11.5	29.9	24.2	35.7	19.3	7.15	0
16-Nov-91	0	/	1091:00:00	13.9	5.9	51.8	12.1	28.4	22.4	34.5	18.6	4.68	0
16-Dec-91	0	/	1092:00:00	11.5	5.8	43.6	13.3	28.4	21.8	35.1	18.2	4.5	0
16-Jan-92	0	/	1093:00:00	0.4	6.4	43.7	14.1	28.3	21.3	35.4	16	0.83	0
15-Feb-92	0	/	1094:00:00	2.4	6.8	43.5	13.8	29.7	22.8	36.6	18	1.72	0
16-Mar-92	0	/	1095:00:00	11.4	6.8	51.7	12.7	30.3	24	36.7	19.5	4.2	0
16-Apr-92	0	/	1096:00:00	48.6	5.9	59.9	10.9	30.2	24.8	35.7	22.4	7.88	0
16-May-92	0	/	1097:00:00	13.8	5.7	53.2	10.5	29.5	24.3	34.8	21.9	5.44	0
16-Jun-92	0	/	1098:00:00	3.5	5.7	52.1	10.1	29	24	34.1	20.9	2.57	0
16-Jul-92	0	/	1099:00:00	15.4	5.4	58.1	9.5	28	23.3	32.8	20.2	5.64	0
16-Aug-92	0	/	1100:00:00	2.3	5.7	54.7	10.2	27.8	22.7	32.9	19.4	2.76	0
16-Sep-92	0	/	1101:00:00	3.9	6.3	45.6	11	29	23.5	34.5	19	4.35	0
16-Oct-92	0	/	1102:00:00	9.4	6.3	55.8	10.9	29.6	24.2	35.1	19.3	5.91	0
16-Nov-92	0	/	1103:00:00	26.1	5.8	50.1	11.1	28.3	22.8	33.9	18.7	6.59	0
16-Dec-92	0	/	1104:00:00	32.8	5.9	39.5	13.4	28.3	21.6	35	17.7	8.13	0
16-Jan-93	0	/	1105:00:00	25.3	6.4	38.8	14	28.1	21.1	35.1	16.6	8.73	0
