"","YEAR","X","XX","PRED","PETD","CLDD","DTRD","TMPD","TMND","TMXD","VAPD","WETD","FRSD"
"16-NOV-1964",0,"/","767:",90,3.3,63.9,12.9,22.6,16.2,29.1,20.4,14.18,0
"16-DEC-1964",0,"/","768:",127.5,3,71.1,12.1,22.1,16.1,28.2,19.8,19.16,0
"16-JAN-1965",0,"/","769:",36.1,3.5,57.9,13.9,22.7,15.8,29.7,19.2,8.75,0
"15-FEB-1965",0,"/","770:",38.4,3.7,60,13.8,22.8,15.9,29.7,18.3,9.66,0
"16-MAR-1965",0,"/","771:",127.6,3.4,73.4,12.4,23.7,17.5,29.9,20.7,17.61,0
"16-APR-1965",0,"/","772:",109.8,3.2,72.3,11.5,23,17.3,28.8,21.1,17.41,0
"16-MAY-1965",0,"/","773:",107.8,3.3,62,12.1,23.4,17.4,29.5,21.5,16.83,0
"16-JUN-1965",0,"/","774:",57.5,3.2,58.7,11.9,22.5,16.6,28.5,20.9,8.1,0
"16-JUL-1965",0,"/","775:",74,3,64.2,11.9,22,16.1,28,20.4,9.27,0
"16-AUG-1965",0,"/","776:",120.6,2.9,73.9,11.1,21.8,16.3,27.4,20.7,11.34,0
"16-SEP-1965",0,"/","777:",138.6,3.2,67.7,11.9,22.5,16.6,28.5,20.9,15.63,0
"16-OCT-1965",0,"/","778:",197.9,3,73.5,11.4,22.1,16.4,27.8,20.9,20.91,0
"16-NOV-1965",0,"/","779:",126.6,3.1,69,11.8,22.7,16.8,28.6,20.8,17.63,0
"16-DEC-1965",0,"/","780:",76.9,3.2,63.6,12.7,22.7,16.4,29.1,20.1,14.87,0
"16-JAN-1966",0,"/","781:",62.6,3.5,60.4,13.6,23.5,16.7,30.3,20.1,11.48,0
"15-FEB-1966",0,"/","782:",89.1,3.5,68.8,12.3,23.6,17.5,29.8,19.7,14.14,0
"16-MAR-1966",0,"/","783:",145.8,3.3,75.2,11.8,23.6,17.7,29.5,20.7,18.67,0
"16-APR-1966",0,"/","784:",188.6,3.1,73.4,11.2,22.9,17.3,28.5,21.1,22.24,0
"16-MAY-1966",0,"/","785:",59,3.2,63.9,11.9,23.4,17.5,29.4,21.9,12.68,0
"16-JUN-1966",0,"/","786:",86.6,3.2,58.4,11.5,22.9,17.2,28.7,21,9.41,0
"16-JUL-1966",0,"/","787:",90.4,2.9,71,11.1,22,16.5,27.6,20.6,10.13,0
"16-AUG-1966",0,"/","788:",164.2,2.9,75.2,10.9,21.9,16.5,27.4,20.4,12.93,0
"16-SEP-1966",0,"/","789:",173.2,3.2,69.8,11.4,22.3,16.6,28,20.6,17.12,0
"16-OCT-1966",0,"/","790:",121.7,3.2,69.9,11.9,22.4,16.5,28.4,20.9,16.65,0
"16-NOV-1966",0,"/","791:",103,3.1,68.4,12.3,22.6,16.5,28.8,20.6,15.85,0
"16-DEC-1966",0,"/","792:",33.7,3.3,61.4,13.1,22.7,16.2,29.3,19.9,8.56,0
"16-JAN-1967",0,"/","793:",33.3,3.5,58.4,14.1,22.9,15.9,30,19.3,8.69,0
"15-FEB-1967",0,"/","794:",23.5,3.8,58.9,14.2,23.6,16.5,30.7,19.2,7.54,0
"16-MAR-1967",0,"/","795:",81.9,3.6,66.8,13.3,23.6,17,30.3,20.3,13.94,0
"16-APR-1967",0,"/","796:",145.5,3.5,62.8,11.9,23.6,17.7,29.6,21.7,19.69,0
"16-MAY-1967",0,"/","797:",136.8,3.1,66.9,11.3,23,17.4,28.7,21.4,18.31,0
"16-JUN-1967",0,"/","798:",107.2,3,63.8,10.9,22.2,16.8,27.7,20.5,10.85,0
"16-JUL-1967",0,"/","799:",87.2,2.8,72,10.6,21.7,16.4,27,20.3,9.71,0
"16-AUG-1967",0,"/","800:",89.5,2.8,74.9,10.8,21.5,16.1,26.9,20.3,10,0
"16-SEP-1967",0,"/","801:",117.4,3,72.5,11.2,22,16.4,27.6,20.5,14.5,0
"16-OCT-1967",0,"/","802:",204.2,2.9,76.5,11.1,22.1,16.6,27.7,20.8,20.96,0
"16-NOV-1967",0,"/","803:",146.7,2.9,74.1,11,22,16.5,27.5,20.3,18.63,0
"16-DEC-1967",0,"/","804:",44.2,3.2,63.8,12.4,22.6,16.4,28.8,19.8,11.35,0
"16-JAN-1968",0,"/","805:",24.3,3.6,55.8,14.1,22.4,15.4,29.5,18.7,7.64,0
"15-FEB-1968",0,"/","806:",116.9,3.6,62,13.2,23,16.4,29.6,18.8,16.06,0
