"","V1"
"84","3.6,3.1,4.5,3.4,3,3.6,2.5,3.2,3.1"
"85","4.2,3.3,4.9,3.4,3.3,4.1,2.5,3.6,3.3"
"86","5,3.5,5.1,4,3.9,4.1,2.7,3.8,3.5"
"87","5,3.8,5.1,4.2,4,4.6,2.9,4,3.8"
"88","4.7,3.6,5.1,4.2,4,4.6,2.7,3.8,3.6"
"89","3.3,3.5,3.9,3.9,3.6,4.4,2.4,3.5,3.6"
"90","2.7,3.1,3.4,3.4,3.1,3.6,2.2,3.1,3.1"
"91","2.5,3,3.5,2.8,2.5,2.9,2.8,3,2.8"
"92","2.5,2.8,3.4,2.7,2.5,2.5,3.1,2.7,2.5"
"93","2.7,2.8,3.6,2.8,2.6,2.5,3.2,2.8,2.6"
"94","3.5,3,3.9,3.1,2.7,2.7,3,2.9,2.9"
"95","3.9,2.9,4.1,3.3,2.9,3.1,2.8,2.9,2.9"
"96","3.1,2.9,4,3.6,3.2,3.6,2.3,2.9,2.9"
"97","3.8,3.2,4.4,3.2,2.9,4.1,2.4,3.5,3.3"
"98","4.6,3.6,4.6,3.6,3.2,4.1,2.6,3.8,3.7"
"99","4.7,3.6,4.9,3.9,3.7,4.7,2.7,3.8,3.8"
"100","4,3.6,4.4,4.1,3.7,4.7,2.4,3.7,3.7"
"101","3.2,3.2,3.8,3.8,3.5,3.9,2.2,3.3,3.3"
"102","2.9,3.2,3.5,3.5,3.2,3.5,2.3,3.1,3.1"
"103","2.6,3,3.5,2.7,2.4,2.9,2.7,3,2.8"
"104","2.6,2.8,3.5,2.7,2.5,2.6,3.2,2.8,2.6"
"105","2.8,2.9,3.8,2.8,2.6,2.7,3.2,2.8,2.7"
"106","3.8,3.3,4.3,2.9,2.5,2.7,3.3,3.2,3.2"
"107","4.1,3.1,4.3,3.4,3,3.2,2.9,3.2,3.1"
"108","3.3,3.2,4,3.4,3.1,3.6,2.5,3.2,3.2"
"109","3.8,3,4.5,3.2,3.1,4,2.4,3.3,3.1"
"110","4.5,3.2,4.9,3.6,3.5,4.2,2.5,3.4,3.2"
"111","4.4,3.5,4.6,4.1,4,4.9,2.6,3.7,3.6"
"112","4.1,3.3,4.6,4.2,3.9,4.6,2.5,3.5,3.3"
"113","3.8,3.4,4.4,4,3.8,4,2.6,3.5,3.5"
"114","3,3.2,3.7,3.5,3.3,3.3,2.3,3.1,3.1"
"115","2.8,3.1,3.9,2.9,2.7,2.9,2.9,3,2.9"
"116","2.6,3,3.7,2.6,2.5,2.6,3.3,2.9,2.7"
"117","2.9,3.1,3.8,2.8,2.7,2.6,3.4,3,2.8"
"118","3.9,3.2,4.3,3,2.6,2.7,3.2,3.1,3.1"
"119","4.2,3.2,4.6,3.3,2.9,3,3,3.2,3.1"
"120","3.5,3.2,4.4,3.6,3.3,3.7,2.6,3.3,3.2"
"121","4.1,3.3,4.8,3.3,3.3,4.4,2.6,3.5,3.4"
"122","4.1,3.4,4.7,3.4,3,4.2,2.5,3.6,3.5"
"123","4.7,3.7,5,4.1,3.8,4.8,2.8,3.9,3.8"
"124","4,3.3,4.7,4.2,3.9,5,2.5,3.4,3.4"
"125","3.3,3.2,3.8,4,3.8,4.3,2.3,3.2,3.2"
"126","2.9,3.2,3.5,3.4,3.2,3.6,2.4,3.1,3.1"
"127","2.7,3.2,3.8,3,2.6,3.1,2.9,3.1,3"
"128","2.6,2.8,3.7,2.6,2.4,2.5,3.1,2.8,2.6"
"129","2.7,2.7,3.9,2.7,2.5,2.4,3.1,2.6,2.6"
"130","3.7,3.1,4.1,3,2.5,2.6,3.2,3,3"
"131","4.1,3,4.5,3.3,2.9,3.2,3,3,3"
"132","3.7,3.3,4.7,3.6,3.3,3.8,2.6,3.5,3.4"
"133","3.7,3.2,4.4,3.4,3.5,4.1,2.4,3.5,3.3"
"134","4.6,3.6,4.8,3.7,3.4,4.1,2.7,3.8,3.6"
"135","4.9,3.8,4.9,3.7,3.5,4.7,2.8,4.1,4"
"136","4.8,3.8,4.8,4,3.6,4.8,2.8,4,3.9"
"137","3.4,3.4,4,3.9,3.6,4.3,2.3,3.5,3.5"
"138","2.9,3.3,3.5,3.6,3.3,3.7,2.4,3.2,3.2"
"139","2.7,3.2,3.5,2.8,2.5,3.1,3,3.2,3"
"140","2.5,2.9,3.5,2.7,2.5,2.5,3.1,2.9,2.6"
"141","2.8,2.8,3.9,2.5,2.3,2.5,3.2,2.8,2.7"
"142","3.8,3.1,4.2,2.9,2.5,2.7,3.1,3.1,3"
"143","4.1,3.1,4.3,3.4,2.9,3.2,2.9,3.1,3.1"
"144","3.8,3.1,4.8,3.7,3.4,3.9,2.5,3.2,3.1"
"145","3.9,3.2,4.6,3.5,3.4,3.9,2.4,3.5,3.2"
"146","4.6,3.4,4.9,3.6,3.4,4.3,2.7,3.6,3.4"
"147","4.5,3.5,4.6,4,3.7,4.8,2.6,3.6,3.6"
"148","4.6,3.6,4.8,4.1,3.8,4.7,2.7,3.7,3.6"
"149","3.7,3.3,4.3,3.8,3.4,4,2.5,3.3,3.3"
"150","2.9,3.2,3.4,3.4,3,3.4,2.3,3.1,3.1"
"151","2.6,2.8,3.8,2.8,2.5,2.9,2.6,2.8,2.7"
"152","2.5,2.9,3.5,2.6,2.4,2.6,3.1,2.8,2.6"
"153","2.9,2.9,4.1,2.8,2.6,2.6,3.2,2.8,2.7"
"154","3.8,3.3,4.1,3.1,2.6,2.8,3.2,3.2,3.2"
"155","3.8,3.1,4,3.4,2.8,3.2,2.9,3.1,3.1"
"156","3.2,3,4.2,3.8,3.5,3.8,2.4,3.1,3"
"157","3.8,3.2,4.7,3.4,3.3,4.1,2.5,3.4,3.2"
"158","4.4,3.5,4.7,3.8,3.4,4.2,2.6,3.7,3.6"
"159","5,3.9,5,4.2,4,4.7,3,4.1,4"
"160","4.9,3.8,5.2,4.4,4.1,4.6,2.9,3.8,3.8"
"161","3.5,3.4,4.2,4.1,3.8,4.4,2.6,3.4,3.4"
"162","2.8,3.2,3.6,3.6,3.3,3.5,2.5,3.1,3.1"
"163","2.6,3.1,3.7,2.8,2.6,3,2.8,3,2.8"
"164","2.7,2.9,3.8,2.7,2.6,2.8,3.2,2.8,2.6"
"165","2.8,2.9,3.9,2.7,2.5,2.5,3.2,2.8,2.7"
