"","Year","X","XX","PRED","PETD","CLDD","DTRD","TMPD","TMND","TMXD","VAPD","WETD","FRSD"
"16-OCT-1964",0,"/","766:",213.7,3,67.8,10.8,19.7,14.3,25.1,18.4,19.82,0
"16-NOV-1964",0,"/","767:",59.7,3.4,54.1,12.3,20.5,14.4,26.7,18.1,11.39,0
"16-DEC-1964",0,"/","768:",86.7,3.2,58.9,11.9,20,14.1,26,17.1,19.03,0
"16-JAN-1965",0,"/","769:",20.6,3.7,55.6,13.7,20.9,14.1,27.8,16,8.83,0
"15-FEB-1965",0,"/","770:",22.5,3.9,57.3,13.5,20.8,14.1,27.6,15,8.72,0
"16-MAR-1965",0,"/","771:",119.9,3.6,67.4,12.1,21.5,15.5,27.6,17.7,17.61,0
"16-APR-1965",0,"/","772:",122.9,3.2,66.8,11,21,15.5,26.5,18.5,17.33,0
"16-MAY-1965",0,"/","773:",96.4,3.3,58.5,11.4,21.1,15.4,26.8,19.2,17.28,0
"16-JUN-1965",0,"/","774:",50.7,3.1,55,11.8,20.2,14.3,26.1,18.4,9.35,0
"16-JUL-1965",0,"/","775:",72.1,3,62.8,11.6,19.8,14,25.6,18,10.67,0
"16-AUG-1965",0,"/","776:",124,2.8,69.9,11,19.5,14,25,18.4,12.6,0
"16-SEP-1965",0,"/","777:",127.3,3.1,66.1,11.4,20.3,14.6,26,18.6,14.25,0
"16-OCT-1965",0,"/","778:",250.5,3,67.5,10.9,20,14.6,25.5,18.7,21.41,0
"16-NOV-1965",0,"/","779:",178,3.2,62.1,11.2,20.6,15,26.2,18.5,19.06,0
"16-DEC-1965",0,"/","780:",76.5,3.5,51.6,12.6,20.7,14.4,27,17.5,16.85,0
"16-JAN-1966",0,"/","781:",39.8,3.7,57.8,13.4,21.8,15.1,28.5,17,11.01,0
"15-FEB-1966",0,"/","782:",67.4,3.6,67.5,11.9,21.7,15.8,27.7,16.7,15.01,0
"16-MAR-1966",0,"/","783:",102.8,3.4,71.3,11.4,21.5,15.8,27.2,17.7,16.37,0
"16-APR-1966",0,"/","784:",196.9,3.2,69.9,10.6,20.8,15.5,26.1,18.2,21.81,0
"16-MAY-1966",0,"/","785:",44.1,3.1,61.3,11.1,21.1,15.6,26.7,19.7,11.94,0
"16-JUN-1966",0,"/","786:",50.3,3.2,56,11.5,20.5,14.8,26.3,18.6,9.14,0
"16-JUL-1966",0,"/","787:",97.6,2.8,70,10.6,19.8,14.5,25.1,18.4,12.35,0
