"","RC1","RC2","RC4","RC3","RC5","RC6","RC7"
"PRED",-0.15882605866575,0.947059048066306,-0.237503877265208,-0.084473044807541,0.0264410426294318,0.116439374011894,0.00721617803315693
"PETD",0.524421399643511,-0.283875950772261,0.72968602614384,0.277000583720934,0.152462387051484,0.0187087365499598,0.10784576217971
"CLDD",-0.104663941965936,0.332246476901343,-0.910230480810164,-0.211359921866711,0.0585487382707946,0.00815967072112258,0.0443891709127748
"DTRD",0.0499776877053985,-0.106342964416355,0.246949331207698,0.961837481741715,0.0086780858403392,-5.45078497430745e-06,0.00163103627877229
"TMPD",0.966361586467798,-0.137640185937204,0.172853611800468,0.10030023462224,0.082153712225488,-0.000898891687678191,0.00882347475476331
"TMND",0.976363194683027,-0.115291822641413,0.13739578713943,-0.087702244438937,0.0817372783031934,0.00405682320293935,0.00631831116225273
"TMXD",0.924323449276515,-0.145479584262097,0.216857790340702,0.266522395426014,0.0790063886995105,0.0037635078546033,0.00645455322804772
"VAPD",0.929716799247854,-0.149875633389402,0.0295686515337177,-0.0597019194798707,-0.329679928758178,-0.00429657000560156,-0.00424486263173913
"WETD",-0.165020143632379,0.952111794292029,-0.216417798269367,-0.0749492181777914,-0.0207406055796151,-0.114913904167943,-0.0127243336911321
